raw score	probability
3.000000	0.950000
2.500000	0.950000
2.000000	0.961818
1.500000	0.932529
1.000000	0.878571
0.500000	0.813953
0.000000	0.683436
-0.500000	0.584946
-1.000000	0.482655
-1.500000	0.302483
-2.000000	0.271605
-2.500000	0.241863
-3.000000	0.281651
-9.000000	0.115385
-20.000000	0.000000
