raw score	probability
3.000000	1.000000
2.500000	1.000000
2.000000	0.602606
1.500000	0.495549
1.000000	0.365523
0.500000	0.195692
0.000000	0.157072
-0.500000	0.095817
-1.000000	0.042601
-1.500000	0.021189
-2.000000	0.015318
-2.500000	0.012566
-3.000000	0.010431
-9.000000	0.010076
-20.000000	0.000000
